Sitename	VGE	VGN	extant43_01	LandCover	TWIx1000	ThorPot07	ThorInvPot07	RoadDensity5K	AnnualRain	AnnualEvap	NetRainfall	NetRainfallStdev	MaxTempWarmestP	TempRange	Rad_Diffuse	Rad_Direct	PrecipSeasonality	Rad_Duration	MinTempColdestP	PrecipWarmestQ	PrecipColdestQ	NativeTreeProb	TreeProb1Ha_RegionMean	TreeProb10ha_RegionMean	TreeProb1Ha_RegionStdDev	TreeProb10ha_RegionStdDev	NativeGrassProb	GrassProb1Ha_RegionMean	GrassProb1Ha_RegionStdDev	GrassProb10ha_RegionMean	GrassProb10ha_RegionStdDev	B1_98_05	B2_98_05	B3_98_05	B4_98_05	B5_98_05	B7_98_05	Ndvi_89_05	Ndwi_89_05_Mean	Ndwi_89_05_StdError	B3_98_05_10ha_Mean	B4_98_05_10ha_Mean	B5_98_05_10ha_Mean	B6_98_05_10ha_Mean	Nvdi_98_05_10haMean	B3_98_05_10ha_StdDev	B4_98_05_10ha_StdDev	B5_98_05_10ha_StdDev	B6_98_05_10ha_StdDev	RiseX	RiseY	Height_100	Slope	Aspect	SalineLogDist	DistToRoad	FreshWaterLogDist	Flood	DistEdge	CurVegSat_PC1	CurVegSat_PC2	CurVegSat_PC3	CurVegSat_PC4	ClimTopo_PC1	ClimTopo_PC2	ClimTopo_PC3	ClimTopo_PC4
12.3.1 WCMA	2289523.2	2490255.523	1	4	9388	444	580	23	618	1365	-747	84	282	249	335595	1020076	33	4266	33	95	216	2	6	43	10.06786537	40.56384659	69	60	7.860692024	57	12.3713131	41	28	30	55	97	40	0.276780486	-0.305685997	0.045032702	36	58	108	47	0.240402251	5	3	19	9	0	0	193	0	180	15.07439041	30	29	1	103	0.427416384	-4.75760603	2.312330246	-1.07042408	-1.209950447	0.484820873	0.716656148	-0.065656692
11.1.2 GHCMA	2292356.232	2424005.197	1	4	8227	366	492	60	585	1247	-662	70	257	223	338063	1036792	21	4281	34	104	175	85	99	100	3.269629478	1.193701148	71	57	19.38384247	31	22.92876244	45	31	35	54	101	44	0.230083168	-0.292944878	0.078132726	44	68	137	58	0.20587194	4	6	13	6	1.660073519	0.539392531	260	1	72	12.83782005	0	33	1	50	2.566403389	-3.407851219	2.537362099	0.969091594	0.082502365	0.822256863	1.307950139	0.811357677
17.2.1 WCMA	2288468.553	2526252.644	1	1	9180	492	327	23	445	1434	-989	81	292	262	334122	1023772	27	4317	30	76	144	100	82	68	35.62569809	44.07916641	19	16	9.79066658	24	17.38475609	49	34	41	71	103	43	0.332887232	-0.139763445	0.06270624	40	64	103	46	0.241208479	10	5	18	10	1.745505214	2.21E-06	152	1	90	14.37924004	0	0	2	0	1.740485668	-4.205028534	-2.136283159	-1.394013405	-1.426579714	0.178497821	-1.148230553	0.092327349
17.3.1 WCMA	2288580.078	2532472.772	1	4	9278	417	401	21	430	1442	-1012	81	294	264	334018	1015768	26	4315	30	74	138	7	30	64	33.06192017	40.63527298	82	71	16.97982025	62	25.36767578	46	31	34	53	106	47	0.215745643	-0.345736057	0.041184995	40	59	113	51	0.205612987	7	6	15	8	-1.496186733	-0.899007022	146	1	239	14.49040985	60	10	2	75	1.928784728	-6.960217953	2.821152687	-0.823974252	-1.717417002	0.03743811	-0.445516258	-0.745764613
20.2.1 WCMA	2288332.617	2539882.942	1	4	8802	455	377	39	408	1456	-1048	81	296	266	332461	1005496	25	4238	30	72	131	100	99	93	4.279519558	17.66778183	65	47	14.10285378	29	16.70125389	51	36	45	61	128	59	0.161788076	-0.34911713	0.03472136	47	66	122	57	0.172271878	6	4	11	6	0	0	132	0	180	14.69538975	0	3	2	50	3.422458887	-2.626414776	1.82526803	-0.276117444	-1.592647672	-0.211392328	-0.845628142	-0.364876747
11.2.1 GHCMA	2293524.818	2421628.341	1	4	7977	341	502	54	580	1246	-666	70	256	222	337581	1018523	21	4294	33	104	173	100	99	100	1.364516258	0.519047141	66	54	15.27603149	45	15.56165314	47	34	40	61	117	52	0.241920799	-0.302015305	0.076872751	46	64	132	58	0.16998902	3	4	14	6	1.585374951	-3.111458063	256	2	153	13.00263977	0	3	4	25	2.954361916	-2.478091955	2.654634714	0.944030344	0.159744665	0.400073647	1.564906955	0.295977741
12.2.2 WCMA	2290516.357	2498673.574	1	4	9051	708	472	33	560	1373	-813	82	284	252	336454	1029561	31	4308	32	91	194	2	3	19	6.636837959	28.6462059	70	67	3.556349039	57	16.39281464	42	28	31	53	98	43	0.266948938	-0.309662342	0.053406566	31	53	93	41	0.255560666	4	3	9	4	0	0	201	0	315	14.84549046	30	46	1	127	-0.212126836	-3.33984375	3.798745155	-0.600733101	-0.802221179	0.782518029	-0.778073907	-1.589538932
11.1.1 GHCMA	2294093.241	2423215.875	1	4	8828	377	442	64	573	1251	-678	70	258	223	338282	1027498	21	4290	35	103	170	99	93	97	17.78522682	13.81708622	73	57	13.88747311	43	18.56303406	45	32	37	56	108	46	0.216482192	-0.301164687	0.077254206	44	63	125	55	0.187462822	4	4	14	7	-1.660072327	-0.539396524	243	1	252	13.0244503	0	46	1	50	2.625691175	-3.793950558	2.428527832	0.628601909	-0.00382059	0.740451157	1.027447104	-0.689413071
11.3.1 GHCMA	2294566.331	2424478.063	1	1	8641	357	431	67	566	1256	-690	70	259	224	337258	1042567	21	4288	35	102	167	100	99	99	1.921061158	3.86720562	63	57	20.29754829	51	20.08096123	46	34	41	62	120	52	0.236342698	-0.297270715	0.083503149	41	63	125	53	0.209939033	6	6	21	9	2.149934053	2.751793385	235	2	38	12.82038021	0	0	1	0	3.145935059	-4.428815842	1.805028796	0.774761438	-0.015123943	0.881720185	0.919889927	1.051576138
12.2.1 GHCMA	2296038.665	2400823.548	1	4	8852	590	439	49	601	1255	-654	70	253	214	335453	1023969	22	4349	38	104	181	50	76	88	30.98140717	22.19402695	65	57	12.5084734	51	20.86039162	47	32	36	60	107	51	0.309610367	-0.228572667	0.108049251	40	63	123	55	0.219728872	6	6	17	7	1.074642897	-1.375474811	170	1	142	12.36878014	0	37	1	25	2.16598177	-4.971516609	1.476403475	0.414649189	0.200523838	0.859225392	0.754033685	-0.260652184
