"Long","Lat","GridCMA"
142.412458646007,-37.6532247806237,"8.4.1ghcma"
142.352112886653,-37.6448200881236,"8.5.1ghcma"
142.377799858175,-37.6007746669822,"8.6.1ghcma"
142.379346618229,-37.6004952242324,"8.6.2ghcma"
142.461779169757,-37.6184476347774,"8.7.1ghcma"
142.473847406564,-37.6202352238756,"8.7.2ghcma"
142.308951143724,-37.692615175812,"9.1.1ghcma"
142.330738021125,-37.6684423856539,"9.2.1ghcma"
142.332588840366,-37.6685927291378,"9.2.2ghcma"
142.304337910994,-37.73678368468,"9.3.1ghcma"
142.262543394573,-37.7255853166117,"9.4.1ghcma"
142.36371732948,-37.7363459006335,"9.5.1ghcma"
142.434187916215,-37.6613984446465,"9.6.1ghcma"
142.351701679031,-37.6965220174348,"9.7.1ghcma"
142.334286252621,-37.6937281651306,"9.7.2ghcma"
142.507822874536,-37.9457771078574,"10.1.1ghcma"
142.522995519814,-37.9503040400391,"10.2.1ghcma"
142.584943127054,-37.9105621606884,"10.2.2ghcma"
142.577222902525,-37.9745980674885,"10.3.1ghcma"
142.577743564219,-37.9739241880114,"10.4.1ghcma"
142.665702271361,-37.6691886554963,"11.1.1ghcma"
142.646239550111,-37.6616932381273,"11.1.2ghcma"
142.658818334134,-37.6833631165468,"11.2.1ghcma"
142.671413320747,-37.6579234100653,"11.3.1ghcma"
142.551911382662,-37.7815856619389,"11.4.1ghcma"
142.549287737621,-37.7423800601703,"11.5.1ghcma"
142.525755282879,-37.7465354197511,"11.5.2ghcma"
142.503029525155,-37.8007670792215,"11.6.1ghcma"
142.500936321265,-37.8006045106071,"11.6.2ghcma"
142.565587086964,-37.8484655354598,"11.7.1ghcma"
142.566170830699,-37.849196779463,"11.7.2ghcma"
142.569215940955,-37.8480837690397,"11.7.3ghcma"
142.57058205661,-37.8471192623557,"11.7.4ghcma"
142.638419821304,-37.8830005370434,"12.1.1ghcma"
142.681567199529,-37.8713160708354,"12.2.1ghcma"
142.718881783503,-37.8811950331245,"12.2.2ghcma"
142.688747881797,-37.8751065026655,"12.3.1ghcma"
142.864592755966,-37.4882181134114,"13.1.1ghcma"
142.864547745517,-37.4873175803689,"13.1.2ghcma"
142.867195532911,-37.4882761294343,"13.1.3ghcma"
142.772431889131,-37.5033091847655,"13.2.1ghcma"
142.718225023924,-37.640424498403,"13.3.1ghcma"
142.74579115121,-37.9363669747523,"14.1.1ghcma"
142.762283583449,-37.9432314814884,"14.1.2ghcma"
142.763768362322,-37.9344135720433,"14.1.3ghcma"
142.798679705933,-37.8948182182437,"14.2.1ghcma"
142.783004072928,-37.9407924119619,"14.2.2ghcma"
142.753851176697,-38.0718035233629,"14.3.1ghcma"
142.758606052741,-38.0704257471832,"14.3.2ghcma"
142.763544450828,-38.0653051436354,"14.3.3ghcma"
142.686836651725,-37.9865678181066,"14.4.1ghcma"
143.056445298746,-37.7227070698209,"15.1.1ghcma"
143.083836385231,-37.8109826660483,"15.2.1ghcma"
143.079696096177,-37.8180669655684,"15.3.1ghcma"
143.114708187247,-37.7683116763569,"15.4.1ghcma"
143.094972131286,-37.7749455191569,"15.4.2ghcma"
143.256649546417,-37.6499692566062,"16.1.1ghcma"
143.258076090764,-37.6517893324863,"16.1.2ghcma"
143.264009942771,-37.6549737992252,"16.1.3ghcma"
143.261894636812,-37.6592228296438,"16.1.4ghcma"
